iter	Passed	Remaining
473	675	749
474	676	747
475	677	745
476	677	743
477	679	741
478	680	740
479	681	738
480	682	736
481	683	734
482	684	733
483	685	731
484	687	729
485	688	727
486	688	725
487	689	723
488	690	721
489	691	719
490	692	718
491	693	716
492	694	714
493	695	712
494	696	710
495	697	709
496	698	707
497	699	705
498	701	703
499	702	702
500	703	700
501	704	698
502	705	696
503	705	694
504	706	692
505	707	691
506	708	689
507	709	687
508	710	685
509	711	683
510	712	682
511	713	680
512	714	678
513	715	676
514	716	675
515	717	673
516	718	671
517	719	669
518	720	667
519	721	666
520	722	664
521	723	662
522	724	660
523	725	658
524	726	657
525	727	655
526	728	654
527	729	652
528	730	650
529	731	649
530	732	647
531	733	645
532	735	644
533	736	642
534	737	640
535	738	638
536	739	637
537	740	635
538	741	634
539	742	632
540	743	631
541	745	629
542	746	627
543	747	626
544	748	624
545	749	623
546	750	621
547	751	619
548	752	618
549	753	616
550	754	614
551	755	613
552	757	611
553	758	610
554	759	608
555	760	607
556	761	605
557	762	604
558	763	602
559	764	600
560	765	598
561	766	597
562	767	595
563	768	594
564	769	592
565	770	591
566	771	589
567	772	587
568	773	586
569	775	584
570	776	583
571	777	581
572	778	579
573	779	578
574	780	576
575	781	575
576	782	573
577	783	572
578	785	571
579	786	569
580	787	568
581	789	566
582	790	565
583	791	563
584	792	561
585	793	560
586	794	558
587	795	557
588	796	555
589	797	553
590	798	552
591	799	550
592	800	549
593	801	547
594	802	546
595	803	544
596	804	543
597	805	541
598	806	540
599	807	538
600	808	536
601	809	535
602	810	533
603	811	532
604	812	530
605	813	529
606	815	527
607	816	526
608	817	524
609	818	523
610	819	521
611	820	520
612	821	518
613	823	517
614	824	516
615	825	514
616	826	513
617	827	511
618	828	509
619	830	508
620	831	507
621	833	506
622	834	505
623	836	503
624	837	502
625	838	500
626	839	499
627	840	497
628	841	496
629	842	494
630	843	493
631	844	491
632	845	490
633	847	489
634	848	487
635	849	486
636	850	484
637	851	483
638	852	481
639	853	480
640	854	478
641	855	477
642	856	475
643	857	474
644	859	472
645	860	471
646	861	469
647	862	468
648	863	467
649	864	465
650	865	464
651	866	462
652	868	461
653	869	459
654	870	458
655	871	456
656	872	455
657	874	454
658	875	453
659	877	451
660	878	450
661	879	449
662	880	447
663	881	446
664	882	444
665	884	443
666	885	442
667	886	440
668	888	439
669	889	438
670	890	436
671	892	435
672	893	434
673	894	432
674	895	431
675	896	429
676	897	428
677	898	426
678	899	425
679	900	423
680	902	422
681	904	421
682	905	420
683	906	418
684	907	417
685	908	415
686	909	414
687	910	413
688	911	411
689	913	410
690	913	408
691	915	407
692	916	406
693	919	405
694	920	403
695	921	402
696	922	401
697	924	399
698	925	398
699	926	397
700	927	395
701	928	394
702	930	392
703	931	391
704	932	390
705	933	388
706	935	387
707	936	386
708	937	384
709	938	383
710	939	381
711	940	380
712	941	379
713	942	377
714	944	376
715	945	374
716	946	373
717	947	372
718	948	370
719	949	369
720	950	367
721	951	366
722	952	365
723	953	363
724	955	362
725	956	360
726	957	359
727	958	358
728	959	356
729	960	355
730	962	354
731	963	352
732	964	351
733	965	350
734	966	348
735	968	347
736	969	346
737	971	344
738	972	343
739	973	341
740	974	340
741	975	339
742	976	337
743	977	336
744	978	335
745	979	333
746	981	332
747	982	330
748	983	329
749	984	328
750	985	326
751	986	325
752	987	323
753	988	322
754	989	321
755	990	319
756	991	318
757	993	317
758	994	315
759	995	314
760	996	312
761	997	311
762	998	310
763	999	308
764	1000	307
765	1001	306
766	1005	305
767	1006	304
768	1008	302
769	1009	301
770	1010	300
771	1011	298
772	1012	297
773	1013	295
774	1014	294
775	1015	293
776	1017	291
777	1019	290
778	1020	289
779	1021	288
780	1022	286
781	1023	285
782	1024	284
783	1025	282
784	1026	281
785	1027	279
786	1028	278
787	1029	276
788	1030	275
789	1031	274
790	1032	272
791	1033	271
792	1035	270
793	1036	268
794	1037	267
795	1038	266
796	1039	264
797	1040	263
798	1041	261
799	1041	260
800	1042	259
801	1043	257
802	1044	256
803	1045	254
804	1047	253
805	1048	252
806	1049	251
807	1050	249
808	1051	248
809	1052	246
810	1053	245
811	1055	244
812	1055	242
813	1056	241
814	1057	240
815	1058	238
816	1059	237
817	1060	235
818	1061	234
819	1062	233
820	1063	231
821	1064	230
822	1065	229
823	1067	227
824	1068	226
825	1070	225
826	1072	224
827	1073	223
828	1075	221
829	1077	220
830	1079	219
831	1081	218
832	1082	217
833	1083	215
834	1085	214
835	1086	213
836	1087	211
837	1088	210
838	1089	209
839	1091	207
840	1092	206
841	1093	205
842	1094	203
843	1095	202
844	1096	201
845	1098	199
846	1099	198
847	1100	197
848	1102	196
849	1104	194
850	1105	193
851	1107	192
852	1108	191
853	1110	189
854	1111	188
855	1113	187
856	1114	185
857	1115	184
858	1116	183
859	1118	182
860	1120	180
861	1123	179
862	1124	178
863	1126	177
864	1127	176
865	1130	174
866	1131	173
867	1132	172
868	1134	170
869	1135	169
870	1136	168
871	1137	166
872	1138	165
873	1139	164
874	1140	162
875	1141	161
876	1142	160
877	1143	158
878	1144	157
879	1145	156
880	1146	154
881	1148	153
882	1149	152
883	1152	151
884	1153	149
885	1155	148
886	1156	147
887	1158	146
888	1159	144
889	1160	143
890	1162	142
891	1163	140
892	1165	139
893	1166	138
894	1167	136
895	1168	135
896	1169	134
897	1170	132
898	1171	131
899	1172	130
900	1173	128
901	1174	127
902	1176	126
903	1176	124
904	1177	123
905	1179	122
906	1180	121
907	1181	119
908	1182	118
909	1183	117
910	1184	115
911	1185	114
912	1186	113
913	1187	111
914	1188	110
915	1189	109
916	1191	107
917	1192	106
918	1193	105
919	1194	103
920	1195	102
921	1196	101
922	1197	99
923	1198	98
924	1199	97
925	1200	95
926	1201	94
